           2 -0.8595666E-01 -0.4104024E-01  0.1118786E-01  0.3420310E-01  0.9148877E+00  0.9077661E+00
           3  0.9283994E-01  0.1124424E+01  0.2013950E-01  0.5033340E-01  0.8925613E+00  0.8869326E+00
           4  0.1891617E+00 -0.5771287E-01  0.3138099E-01  0.6878599E-01  0.8937648E+00  0.8891003E+00
           5 -0.1057427E-01 -0.1991317E+00  0.4489237E-01  0.8954903E-01  0.8978959E+00  0.8939233E+00
           6 -0.7068195E-02  0.7520960E-01  0.6065825E-01  0.1126082E+00  0.9005176E+00  0.8971120E+00
           7 -0.1307682E+00  0.1637958E+00  0.7867429E-01  0.1379592E+00  0.9020758E+00  0.8991281E+00
           8 -0.1001274E+00 -0.8063233E-02  0.9893528E-01  0.1656001E+00  0.9029752E+00  0.9004052E+00
           9  0.2009656E+00 -0.3820845E+00  0.1214421E+00  0.1955264E+00  0.9037544E+00  0.9015234E+00
          10 -0.2104749E+00  0.3090679E-01  0.1461950E+00  0.2277389E+00  0.9043982E+00  0.9024613E+00
          11 -0.3487551E-01  0.2696516E+00  0.1731968E+00  0.2622407E+00  0.9050624E+00  0.9033533E+00
          12  0.1743117E+00  0.4042052E-01  0.2024510E+00  0.2990331E+00  0.9057022E+00  0.9042048E+00
          13 -0.6532447E-01  0.3365039E+00  0.2339627E+00  0.3381226E+00  0.9062532E+00  0.9049484E+00
          14 -0.2156766E-01 -0.1300164E+00  0.2677398E+00  0.3795101E+00  0.9066891E+00  0.9055409E+00
          15  0.6313407E+00  0.8862171E-01  0.3037840E+00  0.4232099E+00  0.9071268E+00  0.9061190E+00
          16  0.1480659E-01  0.2959269E+00  0.3421102E+00  0.4692287E+00  0.9074668E+00  0.9066104E+00
          17 -0.1903148E+00  0.2305560E+00  0.3827254E+00  0.5175626E+00  0.9077767E+00  0.9070221E+00
          18 -0.1577450E+00  0.3503838E-01  0.4256401E+00  0.5682297E+00  0.9080434E+00  0.9073754E+00
          19 -0.1423217E+00 -0.3819976E+00  0.4708460E+00  0.6212489E+00  0.9082575E+00  0.9077037E+00
          20 -0.1335659E+00  0.5561817E+00  0.5183750E+00  0.6766007E+00  0.9084690E+00  0.9079935E+00
          21  0.4370829E+00 -0.2182057E+00  0.5682344E+00  0.7343231E+00  0.9086215E+00  0.9082173E+00
          22 -0.9438530E-01 -0.2742600E+00  0.6204383E+00  0.7944196E+00  0.9087551E+00  0.9084113E+00
          23  0.3377860E+00  0.2706660E+00  0.6749834E+00  0.8569151E+00  0.9088634E+00  0.9086004E+00
          24  0.4482257E-01  0.2818292E+00  0.7319020E+00  0.9218033E+00  0.9089844E+00  0.9087668E+00
          25  0.3524465E+00 -0.1810509E+00  0.7911896E+00  0.9891063E+00  0.9090610E+00  0.9088966E+00
          26 -0.1315407E+00  0.8315842E-01  0.8528622E+00  0.1058829E+01  0.9091133E+00  0.9089994E+00
          27 -0.2667074E-01  0.4181197E+00  0.9169496E+00  0.1131011E+01  0.9091747E+00  0.9091012E+00
          28  0.4101883E-01 -0.9831519E-01  0.9834563E+00  0.1205636E+01  0.9092214E+00  0.9091865E+00
          29  0.7491195E+00  0.3462365E-01  0.1052388E+01  0.1282738E+01  0.9092397E+00  0.9092614E+00
          30  0.5842389E+00 -0.1096300E+00  0.1123781E+01  0.1362333E+01  0.9092709E+00  0.9093167E+00
          31  0.3237417E+00  0.1354961E+01  0.1197649E+01  0.1444429E+01  0.9092977E+00  0.9093617E+00
          32  0.5718234E+00  0.1617970E+00  0.1273983E+01  0.1529052E+01  0.9093049E+00  0.9094099E+00
          33  0.9331199E-01  0.1233677E+01  0.1352827E+01  0.1616213E+01  0.9093097E+00  0.9094387E+00
          34 -0.1429264E+00 -0.4322704E+00  0.1434179E+01  0.1705937E+01  0.9093078E+00  0.9094659E+00
          35  0.5404928E+00  0.6160171E+00  0.1518080E+01  0.1798228E+01  0.9093001E+00  0.9094774E+00
          36  0.1439910E+00  0.3470283E+00  0.1604532E+01  0.1893116E+01  0.9092988E+00  0.9094948E+00
          37  0.9652111E-01 -0.6180710E-01  0.1693549E+01  0.1990621E+01  0.9092859E+00  0.9095027E+00
          38 -0.5497625E+00 -0.3328386E+00  0.1785156E+01  0.2090765E+01  0.9092675E+00  0.9095077E+00
          39 -0.3309119E+00  0.1670777E+00  0.1879377E+01  0.2193561E+01  0.9092451E+00  0.9095058E+00
          40  0.9733029E-01  0.1130523E-01  0.1976235E+01  0.2299022E+01  0.9092307E+00  0.9095011E+00
