# ell, noise_var, clobs(scale=0.0), clobs(scale=1.0), clobs(scale=1.9)
4,674472.7932330437,845.9540520457172,-144.77408472325794,1781.0160657044478
5,502818.9186576781,676.1860133646016,1268.2748375346255,1485.0253855344808
6,395994.32857317064,1717.6312283397633,1000.244510490787,576.6704738436604
7,325906.20043173427,789.1289072957911,987.8756817712816,331.1081922484933
8,277511.7739636136,23.937789308109245,954.2272918057303,1190.307942042133
9,243049.46323283133,2091.618882324451,880.030440340202,694.4353927405919
10,217654.3371296777,179.90319341674115,1239.7776273729785,922.3445296056345
11,198437.42120227346,1393.5774048080525,275.85652673240384,1093.665909032012
12,183806.63816990767,241.72156659151096,164.96372506990258,1516.5638246138437
13,172074.0910394536,452.65650057772706,913.634069893095,668.0616292695314
14,162708.14057522215,714.8875583672941,488.8639288020505,717.700679313061
15,155005.10662485467,499.62175908876765,-174.51284647010493,607.0908394315677
16,145573.02967834225,1105.2031912048733,239.31765261322505,1220.6764706517956
17,142829.73781638395,282.62578818997486,1082.7958739519097,1036.9507393345875
18,139129.40192613142,1099.4858912733325,1484.4087548407201,1028.9543658021369
19,135651.78083215572,1381.5363201129785,1070.8419249780056,972.728878370232
20,132647.58690119282,727.7632461109898,975.2912865560779,1109.2671465878939
21,130044.48941129888,1578.646479055727,878.6541284014908,1251.557768064817
22,127917.4308201213,1540.871589061228,203.01155284190145,878.7907100912312
23,126055.26220540951,476.5887624533985,881.1053819153909,1004.9869906559934
24,124535.10088151917,1170.3746707927057,1448.9697009745032,235.1114476088576
25,123269.23258293878,1294.3034198356277,1495.7665103573604,1357.6056143305796
26,122170.74076101322,925.7029985685301,1221.8171480228855,908.9164914825787
27,121329.22074245292,750.5439819735342,633.711743383246,1618.4726397508766
28,120603.1098534177,1075.5926773413814,718.6907057132273,1310.5957570786602
29,120040.62165942822,808.7476829846271,796.6403717383834,1220.2678960715316
30,119648.77419537173,858.0549764140038,1512.4855068972506,956.8337330867364
31,119303.08976403819,1822.7122362933405,1337.0012646857992,659.833894424788
32,119120.91615946748,1374.2958503772381,500.0444128702105,653.1004520393922
33,119038.14792585962,907.6472570588771,763.9429058142109,671.7603360439912
34,119030.34859602718,1019.2524682855257,1276.4173089650828,1267.5013099136877
35,119143.96244563554,1331.8980885271928,1535.5034596635016,1307.0833756314908
36,119304.09407500824,1459.2070133598913,1131.1502834025748,880.5808651939253
37,119561.33474221235,1270.6590640463583,908.9994538895986,1750.3439333583256
38,119893.01902800026,1475.294991916345,2304.368710343614,1174.7876991346395
39,120285.35001066342,994.6630509723595,1333.4086954131208,1482.7955225815895
40,120735.24799166173,1434.150572654003,443.1576239986591,963.8860845185692
41,121240.43815465797,1477.4701708206783,1626.4031580364478,1404.6508484266294
42,121800.83607832016,1276.665269611416,1226.4822415399276,1597.340563035471
